job_role,avg_productivity,avg_performance,employee_months
Fresh Foods Director,1.559,4.118,36
Vice President,1.511,4.022,72
Deli Manager,1.492,3.985,56
Meat/Fish & Bakery Director,1.454,3.908,36
Marketing Supervisor,1.433,3.867,144
Supply Chain Director,1.41,3.819,136
Chief Financial Officer,1.409,3.819,36
Customer Service Supervisor,1.406,3.811,123
Senior Sales Associate,1.402,3.804,9222
Shift Supervisor,1.4,3.8,2736
Senior HR Specialist,1.395,3.791,582
Store Manager,1.393,3.787,426
Customer Service Associate,1.393,3.786,1759
Produce Manager,1.388,3.777,132
Cashier,1.386,3.773,51109
Finance Supervisor,1.382,3.764,180
Sales Associate,1.381,3.763,31584
Senior Customer Service Specialist,1.371,3.742,610
Chief Operating Officer,1.368,3.736,72
Regional Operations Manager,1.367,3.733,252
IT Associate,1.353,3.705,2282
Warehouse Supervisor,1.352,3.704,1294
Produce Clerk,1.35,3.699,12431
IT Assistant,1.349,3.698,3634
Meat/Fish & Bakery Supervisor,1.346,3.692,722
HR Assistant,1.344,3.687,3834
Senior Butcher,1.344,3.688,3139
HR Associate,1.343,3.686,2284
Finance Associate,1.34,3.68,2670
Senior Produce Clerk,1.338,3.676,3378
Finance Assistant,1.338,3.676,3580
Customer Service Assistant,1.337,3.674,2331
Marketing Assistant,1.336,3.673,2655
Food Prep Worker,1.336,3.673,15394
Butcher,1.335,3.67,9192
Produce Supervisor,1.332,3.664,579
Senior Marketing Specialist,1.33,3.66,605
Senior Finance Specialist,1.327,3.653,657
Produce Assistant,1.326,3.651,18834
Marketing Associate,1.315,3.63,1303
HR Supervisor,1.315,3.63,284
Stock Clerk,1.312,3.623,24400
Senior IT Specialist,1.311,3.623,1105
Senior Warehouse Worker,1.291,3.582,4850
IT Supervisor,1.286,3.573,108
Warehouse Worker,1.285,3.57,15354
Finance Director,1.282,3.563,36
IT Manager,1.249,3.499,36
Marketing Manager,1.235,3.468,24
HR Manager,1.199,3.399,36
Warehouse Manager,1.188,3.377,205
IT Director,1.113,3.226,36
Finance Manager,1.104,3.208,16
